example_id                                                       | status | run_time        |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:1:3]      | passed | 0.00667 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:1:4]      | passed | 0.00637 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:1:5]      | passed | 0.00652 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:2:1:1]    | passed | 0.00659 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:2:1:2]    | passed | 0.00712 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:2:1:3]    | passed | 0.00691 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:2:1:4]    | passed | 0.00683 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:2:2:1]    | passed | 0.00729 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:3:1]      | passed | 0.00768 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:3:2]      | passed | 0.00683 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:3:3]      | passed | 0.00648 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:3:4]      | passed | 0.00695 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:4:1]      | passed | 0.0095 seconds  |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:5:1]      | passed | 0.00914 seconds |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:5:2]      | passed | 0.0079 seconds  |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:6:1]      | passed | 0.0073 seconds  |
./spec/where_is_waldo/adapters/redis_adapter_spec.rb[1:6:2]      | passed | 0.00666 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:1:1]               | passed | 0.0035 seconds  |
./spec/where_is_waldo/configuration_spec.rb[1:1:2]               | passed | 0.00348 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:1:3]               | passed | 0.00366 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:1:4]               | passed | 0.00317 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:1:5]               | passed | 0.00327 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:1:6]               | passed | 0.00341 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:2:1:1]             | passed | 0.00292 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:2:2:1]             | passed | 0.00305 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:2:3:1]             | passed | 0.00309 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:3:1:1]             | passed | 0.00355 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:3:2:1]             | passed | 0.00629 seconds |
./spec/where_is_waldo/configuration_spec.rb[1:3:3:1]             | passed | 0.00641 seconds |
./spec/where_is_waldo/configuration_spec.rb[2:1:1]               | passed | 0.00293 seconds |
./spec/where_is_waldo/configuration_spec.rb[2:2:1]               | passed | 0.00439 seconds |
./spec/where_is_waldo/presence_channel_spec.rb[1:1:1]            | passed | 0.01052 seconds |
./spec/where_is_waldo/presence_channel_spec.rb[1:1:2]            | passed | 0.00878 seconds |
./spec/where_is_waldo/presence_channel_spec.rb[1:1:3]            | passed | 0.01016 seconds |
./spec/where_is_waldo/presence_channel_spec.rb[1:2:1]            | passed | 0.01689 seconds |
./spec/where_is_waldo/presence_channel_spec.rb[1:3:1]            | passed | 0.01352 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:1:1:1]      | passed | 0.00716 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:1:2:1]      | passed | 0.00518 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:1:3:1]      | passed | 0.00262 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:1:4]        | passed | 0.00518 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:1:5]        | passed | 0.00595 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:2:1]        | passed | 0.03317 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:3:1]        | passed | 0.00797 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:3:2]        | passed | 0.01132 seconds |
./spec/where_is_waldo/services/broadcaster_spec.rb[1:3:3]        | passed | 0.00756 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:1:1]   | passed | 0.00891 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:2:1]   | passed | 0.01004 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:3:1]   | passed | 0.01039 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:4:1]   | passed | 0.01507 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:4:2]   | passed | 0.01494 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:4:3]   | passed | 0.01443 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:5:1]   | passed | 0.01194 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:6:1]   | passed | 0.01273 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:7:1]   | passed | 0.00934 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:8:1]   | passed | 0.01102 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:8:2]   | passed | 0.00914 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:9:1:1] | passed | 0.01083 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:9:2:1] | passed | 0.00661 seconds |
./spec/where_is_waldo/services/presence_service_spec.rb[1:10:1]  | passed | 0.01369 seconds |
